name,owner,language,stars,forks,watchers,open_issues,created_date,updated_date,license
homemade-machine-learning,trekhleb,Jupyter Notebook,24773,4193,24773,30,2018-11-01 04:34:19+00:00,2026-08-22 13:09:31+00:00,MIT License
Paddle,PaddlePaddle,C++,24059,6015,24059,1505,2016-08-15 06:59:08+00:00,2026-08-22 13:09:15+00:00,Apache License 2.0
best-of-ml-python,lukasmasuch,Unknown,23728,3146,23728,54,2020-11-29 19:41:36+00:00,2026-08-22 10:13:54+00:00,Creative Commons Attribution Share Alike 4.0 International
C,TheAlgorithms,C,22334,4770,22334,18,2016-07-16 10:17:03+00:00,2026-08-22 09:33:52+00:00,GNU General Public License v3.0
onnx,onnx,Python,21344,4007,21344,283,2017-09-07 04:53:45+00:00,2026-08-22 13:38:22+00:00,Apache License 2.0
rasa,RasaHQ,Python,21301,4918,21301,153,2016-10-14 12:27:49+00:00,2026-08-21 21:08:28+00:00,Apache License 2.0
video2x,k4yt3x,C++,21021,1823,21021,130,2018-02-24 16:34:41+00:00,2026-08-22 10:53:17+00:00,GNU Affero General Public License v3.0
awesome-production-machine-learning,EthicalML,Unknown,20859,2590,20859,31,2018-08-15 14:28:41+00:00,2026-08-22 11:00:07+00:00,MIT License
machine-learning-for-trading,stefan-jansen,Jupyter Notebook,20575,5550,20575,3,2018-05-09 12:33:08+00:00,2026-08-22 14:52:18+00:00,MIT License
stanford-cs-229-machine-learning,afshinea,Unknown,20143,4251,20143,20,2018-08-04 23:01:00+00:00,2026-08-22 09:20:48+00:00,MIT License
ml-agents,Unity-Technologies,C#,19645,4484,19645,20,2017-09-08 21:09:04+00:00,2026-08-22 01:06:55+00:00,Other
LightGBM,lightgbm-org,C++,18707,4055,18707,511,2016-08-05 05:45:50+00:00,2026-08-21 17:04:33+00:00,MIT License
ml-engineering,stas00,Python,18685,1204,18685,3,2020-09-02 19:23:01+00:00,2026-08-22 07:08:14+00:00,Creative Commons Attribution Share Alike 4.0 International
Machine-Learning-Tutorials,ujjwalkarn,Unknown,18130,3968,18130,47,2015-09-12 14:51:38+00:00,2026-08-22 14:20:39+00:00,Creative Commons Zero v1.0 Universal
ML-NLP,NLP-LOVE,Jupyter Notebook,17796,4627,17796,36,2019-07-05 12:49:53+00:00,2026-08-21 08:46:43+00:00,No License
brpc,apache,C++,17592,4135,17592,467,2017-09-04 09:28:47+00:00,2026-08-22 06:26:08+00:00,Apache License 2.0
ML-YouTube-Courses,dair-ai,Unknown,17382,2126,17382,21,2021-06-25 09:39:16+00:00,2026-08-22 10:13:10+00:00,Creative Commons Zero v1.0 Universal
numpy-ml,ddbourgin,Python,16333,3743,16333,47,2019-04-06 22:29:49+00:00,2026-08-21 02:10:24+00:00,GNU General Public License v3.0
transformers.js,huggingface,JavaScript,16263,1181,16263,278,2023-02-13 13:51:45+00:00,2026-08-22 10:14:00+00:00,Apache License 2.0
mml-book.github.io,mml-book,Jupyter Notebook,15911,2848,15911,197,2017-12-08 10:52:21+00:00,2026-08-22 05:47:15+00:00,No License
kubeflow,kubeflow,Unknown,15826,2692,15826,0,2017-11-30 18:44:19+00:00,2026-08-22 14:04:13+00:00,Apache License 2.0
cheatsheets-ai,kailashahirwar,Unknown,15427,3372,15427,12,2017-05-24 12:06:56+00:00,2026-08-21 09:19:05+00:00,MIT License
ggml,ggml-org,C++,15217,1787,15217,352,2022-09-18 17:07:19+00:00,2026-08-22 12:37:44+00:00,MIT License
Qix,ty4z2008,Unknown,15190,4575,15190,0,2014-04-20 11:03:15+00:00,2026-08-22 06:08:34+00:00,Other
imgaug,aleju,Python,14739,2450,14739,311,2015-07-10 20:31:33+00:00,2026-08-22 05:53:02+00:00,MIT License
bullet3,bulletphysics,C++,14686,3088,14686,423,2011-04-12 18:45:08+00:00,2026-08-22 12:45:27+00:00,Other
ChatterBot,gunthercox,Python,14509,4420,14509,72,2014-09-28 14:49:00+00:00,2026-08-20 11:19:50+00:00,"BSD 3-Clause ""New"" or ""Revised"" License"
dlib,davisking,C++,14433,3442,14433,38,2014-01-29 00:45:33+00:00,2026-08-22 04:50:50+00:00,Boost Software License 1.0
nni,microsoft,Python,14363,1851,14363,415,2018-06-01 05:51:44+00:00,2026-08-20 11:20:41+00:00,MIT License
mit-deep-learning-book-pdf,janishar,Java,14205,2910,14205,12,2017-04-07 10:46:50+00:00,2026-08-22 14:36:33+00:00,No License
ivy,unifyai,Python,14171,5461,14171,985,2021-01-19 08:37:25+00:00,2026-08-20 13:28:04+00:00,Other
machine-learning-zoomcamp,DataTalksClub,Jupyter Notebook,13982,3100,13982,3,2020-04-17 04:29:23+00:00,2026-08-22 14:50:05+00:00,No License
handson-ml3,ageron,Jupyter Notebook,13971,5259,13971,107,2022-02-19 09:43:22+00:00,2026-08-22 09:24:42+00:00,Apache License 2.0
tvm,apache,Python,13676,3958,13676,238,2016-10-12 22:20:28+00:00,2026-08-22 06:20:24+00:00,Apache License 2.0
Ai-Learn,tangyudi,Unknown,13275,2673,13275,20,2020-01-28 01:55:06+00:00,2026-08-21 12:33:55+00:00,No License
deep-learning-drizzle,kmario23,HTML,12932,2988,12932,5,2018-11-26 01:17:36+00:00,2026-08-22 11:43:07+00:00,No License
machine-learning-interview,khangich,Unknown,12789,2044,12789,9,2020-08-11 06:26:32+00:00,2026-08-21 20:32:51+00:00,No License
python-machine-learning-book,rasbt,Jupyter Notebook,12640,4373,12640,13,2015-08-07 20:39:29+00:00,2026-08-22 05:30:49+00:00,MIT License
predictionio,apache,Scala,12518,1897,12518,80,2013-01-25 19:42:32+00:00,2026-08-21 05:59:51+00:00,Apache License 2.0
lime,marcotcr,JavaScript,12165,1847,12165,133,2016-03-15 22:18:10+00:00,2026-08-17 22:12:58+00:00,"BSD 2-Clause ""Simplified"" License"
cleanlab,cleanlab,Python,11630,916,11630,121,2018-05-11 01:55:21+00:00,2026-08-21 06:41:07+00:00,Apache License 2.0
dive-into-machine-learning,dive-into-machine-learning,Unknown,11390,1866,11390,0,2015-02-22 23:48:16+00:00,2026-08-20 20:37:28+00:00,Creative Commons Attribution 4.0 International
MLAlgorithms,rushter,Python,11169,1768,11169,10,2016-10-05 06:46:45+00:00,2026-08-22 11:48:03+00:00,MIT License
turicreate,apple,C++,11160,1118,11160,522,2017-12-01 00:42:04+00:00,2026-08-18 01:19:28+00:00,"BSD 3-Clause ""New"" or ""Revised"" License"
amazon-sagemaker-examples,aws,Jupyter Notebook,10979,6961,10979,849,2017-10-23 05:55:22+00:00,2026-08-20 03:24:40+00:00,Apache License 2.0
A-Curated-List-of-ML-System-Design-Case-Studies,Engineer1999,Unknown,10950,1681,10950,7,2024-05-18 15:42:58+00:00,2026-08-21 20:47:23+00:00,No License
dolly,databrickslabs,Python,10804,1140,10804,5,2023-03-24 16:15:53+00:00,2026-08-20 05:59:23+00:00,Apache License 2.0
doccano,doccano,Python,10754,1822,10754,395,2018-05-09 06:10:05+00:00,2026-08-22 13:35:49+00:00,MIT License
mlcourse.ai,Yorko,Python,10692,5697,10692,3,2017-02-27 08:32:20+00:00,2026-08-21 15:24:19+00:00,Other
machine-learning-systems-design,chiphuyen,HTML,10539,1631,10539,11,2019-11-24 23:16:28+00:00,2026-08-22 14:09:39+00:00,No License
Machine-Learning,Jack-Cherish,Python,10371,5065,10371,7,2017-03-25 07:32:37+00:00,2026-08-19 13:54:16+00:00,No License
machine-learning-notes,roboticcam,Jupyter Notebook,10337,1825,10337,28,2018-02-15 15:42:33+00:00,2026-08-21 07:52:17+00:00,No License
3D-Machine-Learning,timzhang642,Unknown,10191,1797,10191,21,2017-08-12 15:20:54+00:00,2026-08-21 09:19:46+00:00,No License
tpot,EpistasisLab,Jupyter Notebook,10052,1562,10052,312,2015-11-03 21:08:40+00:00,2026-08-21 21:42:08+00:00,GNU Lesser General Public License v3.0
sktime,sktime,Python,9958,2301,9958,2399,2018-11-06 15:08:24+00:00,2026-08-22 12:29:51+00:00,"BSD 3-Clause ""New"" or ""Revised"" License"
Stock-Prediction-Models,huseinzol05,Jupyter Notebook,9481,3046,9481,47,2017-12-18 10:49:59+00:00,2026-08-22 11:53:44+00:00,Apache License 2.0
cog,replicate,Go,9460,696,9460,70,2021-02-26 23:43:09+00:00,2026-08-22 06:21:40+00:00,Apache License 2.0
AIMLInterviews,alirezadir,Jupyter Notebook,9442,1661,9442,11,2021-01-31 03:52:09+00:00,2026-08-22 13:26:49+00:00,MIT License
golearn,sjwhitworth,Go,9439,1165,9439,89,2013-12-26 13:06:14+00:00,2026-08-22 06:12:09+00:00,MIT License
machinelearning,dotnet,C#,9349,1950,9349,1009,2018-05-03 16:20:42+00:00,2026-08-21 20:08:36+00:00,MIT License
awesome-ml-for-cybersecurity,jivoi,Unknown,9311,1940,9311,33,2016-12-20 12:46:36+00:00,2026-08-22 13:10:23+00:00,Other
awesome-project-ideas,NirantK,Unknown,9282,1292,9282,7,2017-08-19 09:37:58+00:00,2026-08-22 14:24:50+00:00,MIT License
catboost,catboost,C++,9072,1320,9072,716,2017-07-18 05:29:04+00:00,2026-08-21 21:26:49+00:00,Apache License 2.0
machine_learning_examples,lazyprogrammer,Python,8911,6404,8911,33,2014-07-31 23:40:45+00:00,2026-08-20 15:52:32+00:00,No License
state-of-the-art-result-for-machine-learning-problems,RedditSota,Unknown,8894,1293,8894,14,2017-11-09 01:21:40+00:00,2026-08-21 05:56:46+00:00,Apache License 2.0
pattern,clips,Python,8861,1558,8861,179,2011-05-03 15:29:01+00:00,2026-08-22 10:39:09+00:00,"BSD 3-Clause ""New"" or ""Revised"" License"
financial-machine-learning,firmai,Python,8755,1410,8755,15,2019-03-21 21:00:35+00:00,2026-08-22 09:02:11+00:00,No License
machinelearning,ljpzzz,Jupyter Notebook,8706,3687,8706,17,2016-05-12 07:06:34+00:00,2026-08-21 06:07:46+00:00,MIT License
vowpal_wabbit,VowpalWabbit,C++,8705,1925,8705,1,2009-07-31 19:36:58+00:00,2026-08-20 19:05:45+00:00,Other
MachineLearning_Python,lawlite19,Python,8581,2515,8581,10,2016-10-17 15:44:59+00:00,2026-08-22 03:40:20+00:00,MIT License
Machine-Learning-Collection,aladdinpersson,Python,8489,2784,8489,118,2020-03-26 07:02:40+00:00,2026-08-21 23:11:45+00:00,MIT License
approachingalmost,abhishekkrthakur,Unknown,8374,1122,8374,54,2020-07-04 07:13:20+00:00,2026-08-21 13:45:00+00:00,No License
introduction_to_ml_with_python,amueller,Jupyter Notebook,8152,4671,8152,28,2016-05-29 18:29:47+00:00,2026-08-21 10:59:46+00:00,No License
auto-sklearn,automl,Python,8126,1324,8126,207,2015-07-02 15:38:10+00:00,2026-08-17 01:46:07+00:00,"BSD 3-Clause ""New"" or ""Revised"" License"
machine-learning-cheat-sheet,soulmachine,TeX,8043,1332,8043,11,2013-05-09 07:43:59+00:00,2026-08-21 20:33:02+00:00,No License
cortex,cortexlabs,Go,8011,594,8011,132,2019-01-24 04:43:14+00:00,2026-08-20 21:08:25+00:00,Apache License 2.0
machine-learning-roadmap,mrdbourke,Unknown,7893,1168,7893,12,2020-07-09 07:07:47+00:00,2026-08-15 21:26:11+00:00,MIT License
machine-learning-yearning-cn,deeplearning-ai,CSS,7844,1499,7844,4,2018-06-19 19:26:39+00:00,2026-08-21 08:27:22+00:00,Other
Machine-Learning-Specialization-Coursera,greyhatguy007,Jupyter Notebook,7799,3728,7799,26,2022-06-16 15:31:02+00:00,2026-08-22 01:57:25+00:00,MIT License
Machine-learning-learning-notes,Vay-keen,Unknown,7761,1879,7761,28,2018-03-24 06:48:10+00:00,2026-08-21 04:15:39+00:00,No License
awesome-youtubers,JoseDeFreitas,Markdown,7740,498,7740,2,2020-08-25 14:18:15+00:00,2026-08-22 10:08:29+00:00,Creative Commons Zero v1.0 Universal
Learn_Machine_Learning_in_3_Months,llSourcell,Unknown,7603,2310,7603,19,2018-03-02 10:59:53+00:00,2026-08-21 16:08:33+00:00,No License
h2o-3,h2oai,Jupyter Notebook,7495,2025,7495,2883,2014-03-03 16:08:07+00:00,2026-08-21 06:04:07+00:00,Apache License 2.0
industry-machine-learning,firmai,Jupyter Notebook,7483,1249,7483,3,2019-05-03 05:08:15+00:00,2026-08-21 11:40:40+00:00,No License
